Sequencing deph,CPU asigned (cores),CPU used (%),Time (HH:MM:SS),Memory asigned (GB),Memory used (GB)
30x_A,52,26.47,00:07:13,40,20.39
30x_B,52,25.57,00:07:25,40,21.29
30x_C,52,24.13,00:07:49,40,20.44
50x_A,52,24.88,00:13:01,40,20.55
50x_B,52,24.95,00:12:53,40,22.64
50x_C,52,25.70,00:12:53,40,20.48
100x_A,52,14.66,00:43:30,40,25.77
100x_B,52,25.70,00:25:29,40,26.71
100x_C,52,20.48,00:32:02,40,25.91
200x_A,52,13.25,01:38:50,40,33.26
200x_B,52,15.34,01:25:17,40,35.16
200x_C,52,13.22,01:39:45,40,31.98
