Sequencing deph,CPU asigned (cores),CPU used (%),Time (HH:MM:SS),Memory asigned (GB),Memory used (GB)
30x_A,24,54.47,00:13:53,40,7.50
30x_B,24,38.19,00:14:27,40,7.49
30x_C,24,38.09,00:16:01,40,7.59
50x_A,24,40.69,00:28:22,40,11.04
50x_B,24,46.31,00:27:59,40,11.07
50x_C,24,57.29,00:23:33,40,11.05
100x_A,24,25.37,01:13:04,40,20.51
100x_B,24,46.01,00:45:40,40,20.40
100x_C,24,38.34,00:53:56,40,20.36
200x_A,24,23.88,03:00:16,40,37.80
200x_B,24,30.27,02:44:23,40,37.79
200x_C,24,21.08,03:12:39,40,37.82
