Sequencing_deph,CPU_asigned,CPU_usage,Time,Memory asigned (GB),RAM_usage
30,52,88.81,14:56:18,360,150.25
30,52,69.66,20:52:20,360,143.45
30,52,86.71,14:28:17,360,195.83
30,52,65.21,17:40:26,360,157.18
50,52,71.90,1-09:09:30,360,112.66
50,52,84.01,1-00:58:05,360,123.19
50,52,89.13,23:47:14,360,179.82
50,52,64.52,1-04:59:39,360,152.54
100,52,71.90,1-21:09:30,360,112.66
100,52,70.45,2-16:19:04,360,164.65
100,52,72.07,2-17:44:41,360,160.78
100,52,73.65,2-15:51:52,360,127.60
200,52,70.34,4-09:24:05,360,124.46
200,52,67.22,4-13:42:02,360,134.15
200,52,94.42,5-09:36:28,360,161.68
200,52,84.87,3-17:41:47,360,122.40
